level,prize,price_info
1,Included with prop purchase,Included with prop purchase
2,$15 arcade credits (Price: $25),$25 unlock
3,1 Large Pizza + 1 Large Soda (Price: $50),$50 unlock
4,Birthday party for 10 (Price: $75),$75 unlock
5,6‑month VIP + Wall of Legends + Pin + 10% off (Price: $100),$100 unlock
